transaction_id,upi_id,amount,hour,frequency,avg_amount,amount_deviation,location,device,risk_score,risk_level,is_fraud,timestamp
TXN20260424000000,user251001757035011@sbi,25000,1,7,8568,16432,Chennai,tablet,99,Critical,1,2026-04-24 14:44:36
TXN20260424000001,vikram608@sbi,21195,17,1,17718,3477,Delhi,tablet,20,Low,0,2026-04-24 14:44:36
TXN20260424000002,user2755576593239@hdfc,125000,22,8,6653,118347,Delhi,tablet,99,Critical,1,2026-04-24 14:44:36
TXN20260424000003,neha607@paytm,37344,13,3,27166,10178,Chennai,web,63,High,0,2026-04-24 14:44:36
TXN20260424000004,dnmgvwpispf@gmail,50000,2,10,9903,40097,Lucknow,tablet,99,Critical,1,2026-04-24 14:44:36
TXN20260424000005,pooja530@axis,14536,11,3,18221,3685,Jaipur,web,25,Medium,0,2026-04-24 14:44:36
TXN20260424000006,neha81@okhdfcbank,33567,20,2,28968,4599,Bangalore,tablet,48,High,0,2026-04-24 14:44:36
TXN20260424000007,kiran123@icici,9888,10,1,9865,23,Hyderabad,tablet,10,Low,0,2026-04-24 14:44:36
TXN20260424000008,nisha306@ibl,31277,12,2,24285,6992,Ahmedabad,mobile,36,Medium,0,2026-04-24 14:44:36
TXN20260424000009,kiran716@ibl,17339,20,1,18005,666,Hyderabad,web,22,Low,0,2026-04-24 14:44:36
TXN20260424000010,neha678@axis,38650,14,2,30829,7821,Lucknow,web,36,Medium,0,2026-04-24 14:44:36
TXN20260424000011,meera858@okhdfcbank,33073,9,3,41929,8856,Bangalore,mobile,63,High,0,2026-04-24 14:44:36
TXN20260424000012,ihvjwtduxacc@gmail,150000,3,4,6967,143033,Lucknow,tablet,99,Critical,1,2026-04-24 14:44:36
TXN20260424000013,raj528@icici,8227,11,1,9349,1122,Bangalore,web,10,Low,0,2026-04-24 14:44:36
TXN20260424000014,ananya619@okhdfcbank,42465,16,2,51349,8884,Lucknow,web,48,High,0,2026-04-24 14:44:36
TXN20260424000015,test803@paytm,50000,22,4,14554,35446,Ahmedabad,web,99,Critical,1,2026-04-24 14:44:36
TXN20260424000016,rahul799@axis,29165,8,3,31673,2508,Delhi,web,35,Medium,0,2026-04-24 14:44:36
TXN20260424000017,pooja59@axis,27772,8,3,28472,700,Pune,web,35,Medium,0,2026-04-24 14:44:36
TXN20260424000018,neha56@axis,1665,12,3,1662,3,Jaipur,tablet,15,Low,0,2026-04-24 14:44:36
TXN20260424000019,shankar144@sbi,5639,15,2,4025,1614,Mumbai,tablet,0,Low,0,2026-04-24 14:44:36
TXN20260424000020,nisha279@ybl,23686,19,1,21741,1945,Hyderabad,web,32,Medium,0,2026-04-24 14:44:36
