upi_id,alpha_count,digit_count,special_count,total_length,username_length,has_at,domain_valid,has_multiple_at,suspicious_word,lottery_word,repeat_chars,is_impersonation,digit_ratio,alpha_ratio,entropy_score,starts_with_digit,sequential_digits,symbol_count,random_string,report_count,label
bonus350@axis,5,3,0,13,8,1,1,0,0,1,0,0,0.2308,0.3846,3.0,0,0,0,0,14,1
amit!!!@ybl,4,0,3,11,7,1,1,0,0,0,1,0,0.0,0.3636,2.1281,0,0,3,0,1,0
manoj617@okhdfcbank,5,3,0,19,8,1,1,0,0,0,0,0,0.1579,0.2632,3.0,0,0,0,0,10,0
123sachin@hdfc,6,3,0,14,9,1,1,0,0,0,0,0,0.2143,0.4286,3.1699,1,1,0,0,1,1
fraud448@hdfc,5,3,0,13,8,1,1,0,1,0,0,0,0.2308,0.3846,2.75,0,0,0,0,98,1
amit390@sbi,4,3,0,11,7,1,1,0,0,0,0,0,0.2727,0.3636,2.8074,0,0,0,0,5,0
gift649@sbi,4,3,0,11,7,1,1,0,0,1,0,0,0.2727,0.3636,2.8074,0,0,0,0,49,1
shankar850@paytm,7,3,0,16,10,1,1,0,0,0,0,0,0.1875,0.4375,3.1219,0,0,0,0,1,0
ankit792@hdfc,5,3,0,13,8,1,1,0,0,0,0,0,0.2308,0.3846,3.0,0,0,0,0,3,0
scamper384@ibl,7,3,0,14,10,1,1,0,1,0,0,0,0.2143,0.5,3.3219,0,0,0,0,47,1
vikram215@hdfc,6,3,0,14,9,1,1,0,0,0,0,0,0.2143,0.4286,3.1699,0,0,0,0,10,0
ajay###@axis,4,0,3,12,7,1,1,0,0,0,1,0,0.0,0.3333,1.8424,0,0,3,0,49,1
ajay705@axis,4,3,0,12,7,1,1,0,0,0,0,0,0.25,0.3333,2.5216,0,0,0,0,0,0
sneha825@paytm,5,3,0,14,8,1,1,0,0,0,0,0,0.2143,0.3571,3.0,0,0,0,0,1,0
rohit898@paytm,5,3,0,14,8,1,1,0,0,0,0,0,0.2143,0.3571,2.75,0,0,0,0,7,0
ajay470@icici,4,3,0,13,7,1,1,0,0,0,0,0,0.2308,0.3077,2.5216,0,0,0,0,3,0
divya!!!@ybl,5,0,3,12,8,1,1,0,0,0,1,0,0.0,0.4167,2.4056,0,0,3,0,52,1
neha522@ibl,4,3,0,11,7,1,1,0,0,0,0,0,0.2727,0.3636,2.5216,0,0,0,0,0,0
contest742@icici,7,3,0,16,10,1,1,0,1,0,0,0,0.1875,0.4375,3.1219,0,0,0,0,55,1
456sonal@ibl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,1,1,0,0,71,1
ab97@hdfc,2,2,0,9,4,1,1,0,0,0,0,0,0.2222,0.2222,2.0,0,0,0,0,5,0
deepa162@ibl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,2.75,0,0,0,0,93,1
manoj3927@sbi,5,4,0,13,9,1,1,0,0,0,0,0,0.3077,0.3846,3.1699,0,0,0,0,4,0
paytm723user@axis,9,3,0,17,12,1,1,0,0,0,0,1,0.1765,0.5294,3.585,0,0,0,0,2,0
rahul!!!@paytm,5,0,3,14,8,1,1,0,0,0,1,0,0.0,0.3571,2.4056,0,0,3,0,15,1
ankit1949@axis,5,4,0,14,9,1,1,0,0,0,0,0,0.2857,0.3571,2.9477,0,0,0,0,1,0
kiran836@sbi,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,0,0,0,0,8,0
phish662@icici,5,3,0,14,8,1,1,0,1,0,0,0,0.2143,0.3571,2.5,0,0,0,0,78,1
meera952@axis,5,3,0,13,8,1,1,0,0,0,0,0,0.2308,0.3846,2.75,0,0,0,0,6,0
vikramabc@ibl,9,0,0,13,9,1,1,0,0,0,0,0,0.0,0.6923,2.9477,0,0,0,0,3,0
rahul603@axis,5,3,0,13,8,1,1,0,0,0,0,0,0.2308,0.3846,3.0,0,0,0,0,0,0
ajay61@axis,4,2,0,11,6,1,1,0,0,0,0,0,0.1818,0.3636,2.2516,0,0,0,0,5,1
cd45@ibl,2,2,0,8,4,1,1,0,0,0,0,0,0.25,0.25,2.0,0,0,0,0,2,0
rohit$$$@axis,5,0,3,13,8,1,1,0,0,0,1,0,0.0,0.3846,2.4056,0,0,3,0,53,1
priya675@ybl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,0,0,0,0,6,0
sneha690@sbi,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,0,0,0,0,94,1
priya255@axis,5,3,0,13,8,1,1,0,0,0,0,0,0.2308,0.3846,2.75,0,0,0,0,7,0
raj286@ibl,3,3,0,10,6,1,1,0,0,0,0,0,0.3,0.3,2.585,0,0,0,0,1,0
nisha101@okhdfcbank,5,3,0,19,8,1,1,0,0,0,0,0,0.1579,0.2632,2.75,0,0,0,0,8,0
cd31@ybl,2,2,0,8,4,1,1,0,0,0,0,0,0.25,0.25,2.0,0,0,0,0,3,0
cd58@okhdfcbank,2,2,0,15,4,1,1,0,0,0,0,0,0.1333,0.1333,2.0,0,0,0,0,4,0
scamper392@ybl,7,3,0,14,10,1,1,0,1,0,0,0,0.2143,0.5,3.3219,0,0,0,0,94,1
paytm777user@ibl,9,3,0,16,12,1,1,0,0,0,1,1,0.1875,0.5625,3.1887,0,0,0,0,4,0
sneha594@okhdfcbank,5,3,0,19,8,1,1,0,0,0,0,0,0.1579,0.2632,3.0,0,0,0,0,0,0
kiran515@icici,5,3,0,14,8,1,1,0,0,0,0,0,0.2143,0.3571,2.75,0,0,0,0,66,1
raj71@sbi,3,2,0,9,5,1,1,0,0,0,0,0,0.2222,0.3333,2.3219,0,0,0,0,3,0
rohit253@okhdfcbank,5,3,0,19,8,1,1,0,0,0,0,0,0.1579,0.2632,3.0,0,0,0,0,6,0
manoj$$$@hdfc,5,0,3,13,8,1,1,0,0,0,1,0,0.0,0.3846,2.4056,0,0,3,0,92,1
